종목코드,종목명,지배비율,순차입금,매출액_2023,매출액_2024,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2023,영업이익_2024,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,매출액_성장률_2025,매출액_성장률_2026,매출액_성장률_2027,매출액_성장률_2028,매출액_최대성장률,영업이익_성장률_2025,영업이익_성장률_2026,영업이익_성장률_2027,영업이익_성장률_2028,영업이익_최대성장률,데이터_가용성,가용_연도수,PER,PBR,ROE,부채비율,평균거래량_20d,최근거래일_거래량,OBV_trend,RSI,저항선,지지선,MA_align,MACD_signal,외인_5d,외인_20d,기관_5d,기관_20d,시장,현재가,시가총액,Recent_Volume,거래량배수,업종,컨센_보강,컨센_보강일
096770,SK이노베이션,0.881,261185.73,772884.86,742696.47,802960.54,1047559.31,959189.08,947053.77,19038.86,3556.97,4486.84,92984.23,47575.54,43017.92,8.11,30.46,-8.44,-1.27,30.46,26.14,1972.38,-48.83,-9.58,1972.38,4년치 존재,4,,,-4.88,169.73,1333950.0,702566.0,down,56.3,153500.0,94100.0,up,bear,101104.0,1246950.0,-112878.0,862960.0,KOSPI,141300,238872,702566,0.5,석유와가스,False,
047050,포스코인터내셔널,0.9594,67614.96,331328.21,322609.9,323736.04,352881.57,360705.93,370717.57,11631.12,11578.35,11653.16,14728.36,15554.43,16416.79,0.35,9.0,2.22,2.78,9.0,0.65,26.39,5.61,5.54,26.39,4년치 존재,4,,,12.34,155.76,2660404.0,492112.0,down,55.1,58300.0,48550.0,up,bull,-783026.0,-1869809.0,696066.0,18747842.0,KOSPI,57100,100452,492112,0.2,무역회사와판매업체,False,
003550,LG,0.8143,-25430.26,74453.36,71755.05,72525.47,82626.1,90923.2,98914.44,15890.13,9668.42,9121.74,15628.7,19264.0,21911.22,1.07,13.93,10.04,8.79,13.93,-5.65,71.33,23.26,13.74,71.33,4년치 존재,4,,,2.61,9.81,323077.0,253416.0,down,54.7,124500.0,92200.0,mixed,bear,-133336.0,-719576.0,174889.0,262343.0,KOSPI,116200,175685,253416,0.8,복합기업,False,
323410,카카오뱅크,,,24940.45,29456.21,30862.91,,,,4784.85,6068.8,6493.71,7389.83,8803.58,9725.45,4.78,,,,4.78,7.0,13.8,19.13,10.47,19.13,4년치 존재,4,,,8.18,,786654.0,888978.0,down,28.7,23300.0,20200.0,down,bear,-1186276.0,-1339795.0,249792.0,527710.0,KOSPI,20200,96378,888978,1.1,은행,False,
032640,LG유플러스,1.0,45084.03,143726.26,146251.98,154517.45,153950.5,158064.33,161264.22,9980.31,8631.3,8921.31,11498.44,12333.17,13167.89,5.65,-0.37,2.67,2.02,5.65,3.36,28.89,7.26,6.77,28.89,4년치 존재,4,,,5.99,114.08,877428.0,1053339.0,down,45.3,15590.0,14000.0,mixed,bear,-1278384.0,-2781945.0,520922.0,2260299.0,KOSPI,14560,61797,1053339,1.2,무선통신서비스,False,
180640,한진칼,0.9738,823.32,2757.27,2921.57,2983.62,,,,428.43,491.93,-75.24,,,,2.12,,,,2.12,-115.29,,,,-115.29,1년치 존재,1,,,-0.91,19.5,85011.0,56425.0,down,59.2,148900.0,101500.0,up,bear,-29941.0,-32917.0,32392.0,89005.0,KOSPI,141400,94402,56425,0.7,항공사,False,
024110,기업은행,0.9937,,286238.49,324300.37,292172.06,,,,34322.81,35940.87,36555.89,37151.23,40117.54,42377.25,-9.91,,,,-9.91,1.71,1.63,7.98,5.63,7.98,4년치 존재,4,,,7.29,,848575.0,681609.0,down,40.4,21600.0,19900.0,down,bear,-1879478.0,-1926705.0,302476.0,941749.0,KOSPI,20050,159884,681609,0.8,은행,False,
259960,크래프톤,0.9919,-21242.54,19105.76,27097.74,33265.54,48470.22,51875.67,55595.13,7680.46,11824.88,10543.81,14507.67,15637.94,16774.93,22.76,45.71,7.03,7.17,45.71,-10.83,37.59,7.79,7.27,37.59,4년치 존재,4,,,11.88,32.16,79824.0,54435.0,down,34.8,259000.0,200500.0,down,bear,-15994.0,-106013.0,-10417.0,-110694.0,KOSPI,202000,92411,54435,0.7,게임엔터테인먼트,False,
005380,현대차,0.9124,1025242.74,1626635.79,1752311.53,1862544.72,1935858.8,2020377.68,2122667.9,151269.01,142395.92,114678.51,113600.16,130562.96,140951.33,6.29,3.94,4.37,5.06,6.29,-19.47,-0.94,14.93,7.96,14.93,4년치 존재,4,,,7.0,191.33,532993.0,453930.0,up,35.5,502000.0,351000.0,down,bear,-326985.0,-738508.0,-48807.0,-1451790.0,KOSPI,362000,736549,453930,0.9,자동차,False,
066570,LG전자,0.8057,41258.6,822626.64,877281.82,892008.82,966484.59,1010770.71,1052523.07,36532.94,34196.75,24783.92,46394.53,49360.82,60193.13,1.68,8.35,4.58,4.13,8.35,-27.53,87.2,6.39,21.95,87.2,4년치 존재,4,,,4.29,130.9,699590.0,1625088.0,up,59.9,216500.0,148000.0,mixed,bear,325684.0,423715.0,324940.0,527378.0,KOSPI,215000,350202,1625088,2.3,전자제품,False,
090430,아모레퍼시픽,0.9562,-8086.94,36739.64,38851.11,42528.2,47258.21,51770.16,56190.56,1081.71,2204.81,3358.27,4871.16,5671.95,6445.78,9.46,11.12,9.55,8.54,11.12,52.32,45.05,16.44,13.64,52.32,4년치 존재,4,,,5.26,25.85,234864.0,180026.0,up,52.4,150600.0,105700.0,up,bear,-229723.0,-163869.0,243748.0,735533.0,KOSPI,141600,82826,180026,0.8,화장품,False,
016360,삼성증권,0.9995,,131684.45,134666.21,148739.02,277355.0,236345.0,243245.0,7411.18,12057.5,13756.73,23030.41,20903.71,21395.81,10.45,86.47,-14.79,2.92,86.47,14.09,67.41,-9.23,2.35,67.41,4년치 존재,4,,,18.11,1126.56,267569.0,434628.0,up,53.0,121300.0,85000.0,down,bull,172731.0,661021.0,62244.0,-201227.0,KOSPI,90300,80638,434628,1.6,증권,False,
